"";"ssec ";"sfree ";"tsec ";"tfree ";"trust5 ";"medtime_1 ";"micronarratives ";"mainstream ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.856***";" 1.000   ";"";"";"";"";"";"";"";""
"tsec";" 0.271***";" 0.291***";" 1.000   ";"";"";"";"";"";"";""
"tfree";" 0.251** ";" 0.273***";" 0.569***";" 1.000   ";"";"";"";"";"";""
"trust5";"-0.172*  ";"-0.224** ";"-0.254** ";"-0.061   ";" 1.000   ";"";"";"";"";""
"medtime_1";" 0.020   ";" 0.060   ";" 0.031   ";"-0.060   ";"-0.058   ";" 1.000   ";"";"";"";""
"micronarratives";"-0.073   ";"-0.058   ";" 0.090   ";" 0.113   ";"-0.121   ";"-0.028   ";" 1.000   ";"";"";""
"mainstream";"-0.156   ";"-0.223** ";"-0.065   ";"-0.039   ";" 0.472***";"-0.060   ";" 0.327***";" 1.000   ";"";""
"man_eff";"-0.198*  ";"-0.341***";"-0.058   ";" 0.012   ";" 0.418***";"-0.112   ";" 0.024   ";" 0.426***";" 1.000   ";""
"man_acc";"-0.509***";"-0.609***";"-0.148   ";"-0.076   ";" 0.397***";"-0.088   ";" 0.027   ";" 0.362***";" 0.733***";" 1.000   "
